Precinct County Code	Precinct County Name	Precinct Election Number	Precinct Election Date	Precinct Election Name	Precinct Unique Precinct Identifier	Precinct Precinct Polling Location	Precinct Total Registered Voters	Precinct Total Registered Republicans	Precinct Total Registered Democrats	Precinct Total Registered All Other Parties	Contest Contest Name	Contest District	Contest Contest Code	Votes Candidate/Retention/Issue Name/WriteInsCast/OverVotes/UnderVotes	Votes Candidate Party	Votes Candidate Florida Voter Registration System ID Number	Votes DOE Assigned Candidate Number or Retention/Issue Number	Votes Vote Total
PUT	Putnam	10281	08/30/2016	2016 Primary Election	15	Living Hope Family Worship Center	1850	17410	0	0	State Representative	District 19	260191	UnderVotes		0	902	2
PUT	Putnam	10281	08/30/2016	2016 Primary Election	15	Living Hope Family Worship Center	1850	17410	0	0	State Representative	District 19	260191	Katherine Van Zant	REP	100751342	64457	111
PUT	Putnam	10281	08/30/2016	2016 Primary Election	15	Living Hope Family Worship Center	1850	17410	0	0	State Representative	District 19	260191	Bobby Payne	REP	107495730	64619	106
PUT	Putnam	10281	08/30/2016	2016 Primary Election	15	Living Hope Family Worship Center	1850	17410	0	0	State Representative	District 19	260191	Leslie Dougher	REP	102815637	64792	72
PUT	Putnam	10281	08/30/2016	2016 Primary Election	16	Trinity Episcopal Church	2225	17410	0	0	State Representative	District 19	260191	OverVotes		0	901	0
PUT	Putnam	10281	08/30/2016	2016 Primary Election	16	Trinity Episcopal Church	2225	17410	0	0	State Representative	District 19	260191	UnderVotes		0	902	8
PUT	Putnam	10281	08/30/2016	2016 Primary Election	16	Trinity Episcopal Church	2225	17410	0	0	State Representative	District 19	260191	Katherine Van Zant	REP	100751342	64457	116
PUT	Putnam	10281	08/30/2016	2016 Primary Election	16	Trinity Episcopal Church	2225	17410	0	0	State Representative	District 19	260191	Bobby Payne	REP	107495730	64619	109
PUT	Putnam	10281	08/30/2016	2016 Primary Election	16	Trinity Episcopal Church	2225	17410	0	0	State Representative	District 19	260191	Leslie Dougher	REP	102815637	64792	68
PUT	Putnam	10281	08/30/2016	2016 Primary Election	17	Woodlawn Baptist Church	670	17410	0	0	State Representative	District 19	260191	OverVotes		0	901	0
PUT	Putnam	10281	08/30/2016	2016 Primary Election	17	Woodlawn Baptist Church	670	17410	0	0	State Representative	District 19	260191	UnderVotes		0	902	2
PUT	Putnam	10281	08/30/2016	2016 Primary Election	17	Woodlawn Baptist Church	670	17410	0	0	State Representative	District 19	260191	Katherine Van Zant	REP	100751342	64457	28
PUT	Putnam	10281	08/30/2016	2016 Primary Election	17	Woodlawn Baptist Church	670	17410	0	0	State Representative	District 19	260191	Bobby Payne	REP	107495730	64619	15
PUT	Putnam	10281	08/30/2016	2016 Primary Election	17	Woodlawn Baptist Church	670	17410	0	0	State Representative	District 19	260191	Leslie Dougher	REP	102815637	64792	5
PUT	Putnam	10281	08/30/2016	2016 Primary Election	18	Woodlawn Baptist Church	2389	17410	0	0	State Representative	District 19	260191	OverVotes		0	901	0
PUT	Putnam	10281	08/30/2016	2016 Primary Election	18	Woodlawn Baptist Church	2389	17410	0	0	State Representative	District 19	260191	UnderVotes		0	902	11
PUT	Putnam	10281	08/30/2016	2016 Primary Election	18	Woodlawn Baptist Church	2389	17410	0	0	State Representative	District 19	260191	Katherine Van Zant	REP	100751342	64457	117
PUT	Putnam	10281	08/30/2016	2016 Primary Election	18	Woodlawn Baptist Church	2389	17410	0	0	State Representative	District 19	260191	Bobby Payne	REP	107495730	64619	112
PUT	Putnam	10281	08/30/2016	2016 Primary Election	18	Woodlawn Baptist Church	2389	17410	0	0	State Representative	District 19	260191	Leslie Dougher	REP	102815637	64792	44
PUT	Putnam	10281	08/30/2016	2016 Primary Election	19	Interlachen Community Center	924	17410	0	0	State Representative	District 19	260191	OverVotes		0	901	0
PUT	Putnam	10281	08/30/2016	2016 Primary Election	19	Interlachen Community Center	924	17410	0	0	State Representative	District 19	260191	UnderVotes		0	902	2
PUT	Putnam	10281	08/30/2016	2016 Primary Election	19	Interlachen Community Center	924	17410	0	0	State Representative	District 19	260191	Katherine Van Zant	REP	100751342	64457	36
PUT	Putnam	10281	08/30/2016	2016 Primary Election	19	Interlachen Community Center	924	17410	0	0	State Representative	District 19	260191	Bobby Payne	REP	107495730	64619	45
PUT	Putnam	10281	08/30/2016	2016 Primary Election	19	Interlachen Community Center	924	17410	0	0	State Representative	District 19	260191	Leslie Dougher	REP	102815637	64792	10
PUT	Putnam	10281	08/30/2016	2016 Primary Election	2	South Putnam Government Center	1318	17410	0	0	State Representative	District 19	260191	OverVotes		0	901	0
PUT	Putnam	10281	08/30/2016	2016 Primary Election	2	South Putnam Government Center	1318	17410	0	0	State Representative	District 19	260191	UnderVotes		0	902	6
PUT	Putnam	10281	08/30/2016	2016 Primary Election	2	South Putnam Government Center	1318	17410	0	0	State Representative	District 19	260191	Katherine Van Zant	REP	100751342	64457	50
PUT	Putnam	10281	08/30/2016	2016 Primary Election	2	South Putnam Government Center	1318	17410	0	0	State Representative	District 19	260191	Bobby Payne	REP	107495730	64619	68
PUT	Putnam	10281	08/30/2016	2016 Primary Election	2	South Putnam Government Center	1318	17410	0	0	State Representative	District 19	260191	Leslie Dougher	REP	102815637	64792	19
PUT	Putnam	10281	08/30/2016	2016 Primary Election	20	Interlachen Community Center	1614	17410	0	0	State Representative	District 19	260191	OverVotes		0	901	0
PUT	Putnam	10281	08/30/2016	2016 Primary Election	20	Interlachen Community Center	1614	17410	0	0	State Representative	District 19	260191	UnderVotes		0	902	8
PUT	Putnam	10281	08/30/2016	2016 Primary Election	20	Interlachen Community Center	1614	17410	0	0	State Representative	District 19	260191	Katherine Van Zant	REP	100751342	64457	89
PUT	Putnam	10281	08/30/2016	2016 Primary Election	20	Interlachen Community Center	1614	17410	0	0	State Representative	District 19	260191	Bobby Payne	REP	107495730	64619	108
PUT	Putnam	10281	08/30/2016	2016 Primary Election	20	Interlachen Community Center	1614	17410	0	0	State Representative	District 19	260191	Leslie Dougher	REP	102815637	64792	32
PUT	Putnam	10281	08/30/2016	2016 Primary Election	21	Interlachen Community Center	1455	17410	0	0	State Representative	District 19	260191	OverVotes		0	901	0
PUT	Putnam	10281	08/30/2016	2016 Primary Election	21	Interlachen Community Center	1455	17410	0	0	State Representative	District 19	260191	UnderVotes		0	902	5
PUT	Putnam	10281	08/30/2016	2016 Primary Election	21	Interlachen Community Center	1455	17410	0	0	State Representative	District 19	260191	Katherine Van Zant	REP	100751342	64457	73
PUT	Putnam	10281	08/30/2016	2016 Primary Election	21	Interlachen Community Center	1455	17410	0	0	State Representative	District 19	260191	Bobby Payne	REP	107495730	64619	83
PUT	Putnam	10281	08/30/2016	2016 Primary Election	21	Interlachen Community Center	1455	17410	0	0	State Representative	District 19	260191	Leslie Dougher	REP	102815637	64792	38
PUT	Putnam	10281	08/30/2016	2016 Primary Election	22	Grandin Lake Shores Community Cente	2396	17410	0	0	State Representative	District 19	260191	OverVotes		0	901	0
PUT	Putnam	10281	08/30/2016	2016 Primary Election	22	Grandin Lake Shores Community Cente	2396	17410	0	0	State Representative	District 19	260191	UnderVotes		0	902	10
PUT	Putnam	10281	08/30/2016	2016 Primary Election	22	Grandin Lake Shores Community Cente	2396	17410	0	0	State Representative	District 19	260191	Katherine Van Zant	REP	100751342	64457	131
PUT	Putnam	10281	08/30/2016	2016 Primary Election	22	Grandin Lake Shores Community Cente	2396	17410	0	0	State Representative	District 19	260191	Bobby Payne	REP	107495730	64619	135
PUT	Putnam	10281	08/30/2016	2016 Primary Election	22	Grandin Lake Shores Community Cente	2396	17410	0	0	State Representative	District 19	260191	Leslie Dougher	REP	102815637	64792	52
PUT	Putnam	10281	08/30/2016	2016 Primary Election	23	Hollister Fire Dept	1391	17410	0	0	State Representative	District 19	260191	OverVotes		0	901	0
PUT	Putnam	10281	08/30/2016	2016 Primary Election	23	Hollister Fire Dept	1391	17410	0	0	State Representative	District 19	260191	UnderVotes		0	902	6
PUT	Putnam	10281	08/30/2016	2016 Primary Election	23	Hollister Fire Dept	1391	17410	0	0	State Representative	District 19	260191	Katherine Van Zant	REP	100751342	64457	90
PUT	Putnam	10281	08/30/2016	2016 Primary Election	23	Hollister Fire Dept	1391	17410	0	0	State Representative	District 19	260191	Bobby Payne	REP	107495730	64619	119
PUT	Putnam	10281	08/30/2016	2016 Primary Election	23	Hollister Fire Dept	1391	17410	0	0	State Representative	District 19	260191	Leslie Dougher	REP	102815637	64792	38
PUT	Putnam	10281	08/30/2016	2016 Primary Election	24	Grace Community Baptist Church	1983	17410	0	0	State Representative	District 19	260191	OverVotes		0	901	0
PUT	Putnam	10281	08/30/2016	2016 Primary Election	24	Grace Community Baptist Church	1983	17410	0	0	State Representative	District 19	260191	UnderVotes		0	902	4
PUT	Putnam	10281	08/30/2016	2016 Primary Election	24	Grace Community Baptist Church	1983	17410	0	0	State Representative	District 19	260191	Katherine Van Zant	REP	100751342	64457	73
PUT	Putnam	10281	08/30/2016	2016 Primary Election	24	Grace Community Baptist Church	1983	17410	0	0	State Representative	District 19	260191	Bobby Payne	REP	107495730	64619	296
PUT	Putnam	10281	08/30/2016	2016 Primary Election	24	Grace Community Baptist Church	1983	17410	0	0	State Representative	District 19	260191	Leslie Dougher	REP	102815637	64792	26
PUT	Putnam	10281	08/30/2016	2016 Primary Election	25	Southwest Fire Dept	1842	17410	0	0	State Representative	District 19	260191	OverVotes		0	901	0
PUT	Putnam	10281	08/30/2016	2016 Primary Election	25	Southwest Fire Dept	1842	17410	0	0	State Representative	District 19	260191	UnderVotes		0	902	4
PUT	Putnam	10281	08/30/2016	2016 Primary Election	25	Southwest Fire Dept	1842	17410	0	0	State Representative	District 19	260191	Katherine Van Zant	REP	100751342	64457	74
PUT	Putnam	10281	08/30/2016	2016 Primary Election	25	Southwest Fire Dept	1842	17410	0	0	State Representative	District 19	260191	Bobby Payne	REP	107495730	64619	249
